Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Services, value added (annual % growth) [NV.SRV.TOTL.KD.ZG]","Manufacturing, value added (annual % growth) [NV.IND.MANF.KD.ZG]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Poland Base,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Adj YoY Ex Rate
2022,Czechia,1.244094732,3.029375173,1.879369422,2.874693705,8.309905591,5.14899737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.044008552
2023,Czechia,-1.820884038,3.464845707,2.4615591,1.656570868,2.71079595,2.731691221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090564997
1996,Estonia,6.502782208,3.465317037,1.162736809,5.925874207,-0.444531451,2.573126455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093224116
1997,Estonia,14.34721605,5.316787872,2.80170558,11.13926326,20.16690407,25.42723864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205263126
1998,Estonia,5.346902251,10.49664237,0.376362232,5.441104118,4.885780015,13.16092497,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125214753
1999,Estonia,-0.717824691,5.660895535,1.79994846,2.554308714,-0.963876511,0.474188698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042400476
2000,Estonia,9.556422589,7.319237666,1.623637457,6.079448467,20.53592561,-6.950077695,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093403932
2001,Estonia,6.557319678,9.485901773,4.007157663,5.768785893,13.12008538,6.3328066,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041187321
2002,Estonia,7.612500411,4.589264189,2.519042355,5.873396488,7.503408335,2.820670124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033300146
2003,Estonia,8.273723957,10.51217154,2.7830309,7.205003923,7.491368111,10.17254479,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030052125
2004,Estonia,7.441089885,8.94665953,3.196564599,7.267815731,3.126967645,17.2923112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025312928
2005,Estonia,10.15160233,21.67022416,5.991151939,9.074867074,9.707392535,19.92239206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033428109
2006,Estonia,10.41170436,10.32656834,8.493814252,9.309916186,10.94027713,9.529445407,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02192711
2007,Estonia,8.062766014,13.51051327,10.63434805,6.347812985,4.892800356,12.61542988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012041929
2008,Estonia,-4.870579153,8.122539719,5.298618496,-3.151887205,-3.67629054,0.897882662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01545735
2009,Estonia,-14.46549815,9.505441711,6.941961755,-12.30865689,-23.13935037,-20.30854863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038790891
2010,Estonia,2.683661651,13.27703301,6.358325337,1.392576798,19.53184497,24.21722123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057661768
2011,Estonia,7.93414725,4.802404493,-5.88420126,5.513305358,14.86364921,24.17302844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01357054
2012,Estonia,4.04377186,7.691656795,5.514663318,3.599383765,1.271342871,4.82627135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.028663721
2013,Estonia,2.119282,4.313939306,3.344620274,1.854406886,3.094751252,2.80031738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.012447221
2014,Estonia,3.594115908,6.585116181,4.201377852,2.88616881,5.644205315,2.640413083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.009580272
2015,Estonia,1.77141702,-3.069105193,-2.467065235,2.098346038,2.383885963,-1.505828057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.027486742
2016,Estonia,3.063010903,3.769232561,1.489183488,2.936303068,4.261236566,4.825692662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.007526526
2017,Estonia,5.506857314,6.318927212,2.368362777,6.584782411,4.02170414,4.832045758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.025592508
2018,Estonia,3.339409364,4.080158322,-0.687171158,4.20812583,4.86518977,2.895874576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00859503
2019,Estonia,3.341963617,9.768193646,5.942807953,2.766725524,6.095565685,5.034486698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.01615054
2020,Estonia,-3.075480078,12.01477529,1.220968737,-2.103316783,-6.177826026,-4.117140116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.036002598
2021,Estonia,7.040926485,20.30639491,17.04874377,6.501985408,12.01930341,22.12518171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.000667434
2022,Estonia,-1.268031117,4.893201225,4.464070871,3.300599474,-7.315522098,5.041791433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.001484435
2023,Estonia,-4.540800666,12.95869166,5.341698109,-1.046109007,-4.529089314,-8.9759636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017078332
1996,Hungary,0.273327489,7.022575058,0.036666065,0.99288329,4.553695843,9.177195483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069129945
1997,Hungary,3.185546317,8.785336301,1.002975113,-0.056518204,13.99070807,22.75722756,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065575318
1998,Hungary,4.090022567,6.685854301,0.478825258,1.630449548,9.671703579,15.4134377,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052880077
1999,Hungary,3.378474268,6.885581573,1.006322861,1.8667767,6.121255538,11.74610037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008987045
2000,Hungary,4.680946506,5.812072105,1.281929561,5.270282944,4.572601394,24.92488227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037290883
2001,Hungary,4.300996768,7.544264732,0.967077739,3.711779693,4.586622595,8.743577938,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005827093
2002,Hungary,5.028710608,5.386780909,1.734141596,5.138233987,7.242330716,5.662568817,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021191856
2003,Hungary,4.236919635,4.880252995,4.87049144,4.249704443,8.393959344,6.197235233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004159037
2004,Hungary,5.19581259,4.362912778,1.585822061,2.005581046,6.05314602,18.05341488,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084301841
2005,Hungary,4.507920786,24.30602881,17.74017741,4.85581537,5.291290022,12.78254307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099931794
2006,Hungary,4.095899965,16.15748765,15.84634198,4.724703769,6.734361908,19.52934496,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031838495
2007,Hungary,0.487904818,50.40652303,48.72764832,0.371651003,6.163392191,16.14379229,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066819494
2008,Hungary,1.170428844,47.23642119,46.54329659,0.931032969,-3.413680295,6.698324277,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013493741
2009,Hungary,-6.595586428,-2.282804956,-2.862564866,-3.301195157,-17.72162296,-10.71705771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051880741
2010,Hungary,1.296636608,-15.88543803,-18.72801585,2.220955342,9.334995173,11.11752761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111281939
2011,Hungary,2.205910345,7.454421455,6.416686147,1.977986284,0.47896219,6.413957094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.029165673
